PPN	Signatur	Notizen	Auflagen
1752461029	 		
175106252X	 		
1736230131	 		
1717715656	WD 4010 J25 (5)		5., überarbeitete und aktualisierte Auflage
1692940236	 		
1691587079	 		
1686113617	 		1. Aufl
1684125340	 		
1668559447	 		1. Auflage
166740668X	VC 5010 M888 (13)		13., vollständig überarbeitete Auflage
1047252562	VE 5010 A874 K9 (5)		5. Auflage
1742425631	 		
1685293034	 		
1678700088	 		
1678699748	 		
1677393629	 		
1672387973	VE 5010 H891 (4)		4. neu bearbeitete Auflage
1670000605	 		
1670000311	 		
1668552434	 		
1668307839	 		
1663166196	 		
1662450478	 		
1645967808	 		
1040143989	VB 2000 N576		
1035251469	WD 4010 V876 (3)		Dritte, vollständig überarbeitete und erweiterte Auflage
1035250934	VC 5010 W968 (2)		2. Auflage
1029832730	VC 5010 B669 (3)		3., unveränderte Auflage
1019626178	 		
1643424831	 		
1588004252	 		
158444293X	 		1. Auflage
1581937512	VB 4073 P959 -7/10		Differenzierende Ausgabe Baden-Württemberg, 1. Auflage
1580641547	 		
1578261333	VB 4073 P959 -9/10		Differenzierende Ausgabe Baden-Württemberg, 1. Auflage
1577629647	VB 4150 D486 -2018		
1571462732	VB 4073 L524 -9/10		Druck A1
157098249X	 		
1041199376	VC 5010 O77 (2)		2. Auflage
1032569255	VC 1000 L389 (22)		22., vollständig überarbeitete  Auflage
1030324921	 		
1028082827	 		
1027273785	 		
1025834968	VN 6050 K96 (2)		2., aktualisierte und erweiterte Auflage
1020915587	 		3. Auflage
1015030513	 		
1014626129	VK 5000 S356 (2)		2., aktualisierte und erweiterte Auflage
89349495X	 		1. Auflage, vollständige Neubearbeitung
1645038955	UQ 8225 D582		
1629049352	 		6., aktualisierte Auflage
1560675691	VB 4150 D486 -2017		
155668570X	VB 4073 P959 -7/8		Differenzierende Ausgabe Baden-Württemberg, 1. Auflage
1556685203	VB 4073 P959	GA	Differenzierende Ausgabe Baden-Württemberg [ab 2017]
1554668999	VB 4073 F139		1. Auflage
1554668441	VB 4073 F139	GA	Gesamtband Baden-Württemberg
1554667909	VB 4073 N285 (N)		1. Auflage
1554667631	VB 4073 N285 (N)		Gesamtband [Neubearbeitung] Baden-Württemberg
1551480824	 		
154290305X	VH 5010 H737 A6 -2(103)		103. Auflage
1542902673	VH 5010 H737 A6 -1(103)		103. Auflage
1542902630	VH 5010 H737 A6 (103)	GA	103. Auflage
1012085031	 		
1011325179	 		
1009954148	 		
1007626461	 		
1007440589	 		
898922747	 		4. Auflage
898909961	 		
891201696	 		
890336091	 		
889150478	 		1. Auflage
889135525	 		[1. Auflage]
887649092	 		
882778048	VK 6000 L532		
882767216	 		
881417920	VG 6600 J33 (19)		19. Auflage
881210862	 		
879869003	 		
873557549	 		
871137704	 		5., vollständig überarbeitete und aktualisierte Auflage
871101343	VN 6050 D381		
860734293	VB 2000 F297		
860250547	 		
859088022	VG 5010 S412 (3)		Dritte, überarbeitete und aktualisierte Auflage
859084639	VB 2380 W493		
831888369	VE 5010 D235		
818741740	 		
1622724240	 		
1620844060	 		
1566038243	 		3. [Druck]
1560703814	VB 4073 L524	GA	Differenzierende Ausgabe Baden-Württemberg
156033441X	VB 4073 L524 -7/8		Druck A
1549535021	VB 4073 B648 C5	GA	Differenzierende Ausgabe Baden-Württemberg
1547913894	VB 4073 B648 C5 -7/10		
1543781357	VB 4150 D486 -2016		
1538034751	VH 5100 S412 -1(18)		18., völlig neu bearbeitete Auflage
1473658489	 		1. Auflage
872647196	 		
870080423	 		
869684175	 		
868693936	 		[1. Auflage]
861433491	 		
861433238	VB 4048 L269		
856802891	 		
846177269	 		1. Auflage
844140554	VB 2000 A874		
840866259	WD 4010 R228 (4)		4. Auflage
838381413	 		
833564005	 		
832318507	VK 5020 S337 (25)		25., völlig neu bearbeitete Auflage
826180973	VC 5010 B614 (3)		3., vollständig überarbeitete Auflage
1618329049	 		[1. Aufl.]
1617698717	 		
1616692111	 		1. Auflage
161665824X	VE 9580 M888		
1616590769	VN 6050 K96		1. Aufl.
1616586281	 		
1616066024	VB 2300 S681		
1615313982	VC 5010 S785 (8)		8., korr. Aufl.
1615035958	VC 5010 M888 (12)		12., korrigierte und aktualisierte Auflage
1614927669	 		
1614634939	VC 5010 K96 (10)		10., überarb. Aufl.
1614331960	VB 2300 P949		
1614288925	VH 5010 R549 C5 (9)		9. Aufl.
1614150206	 		
1614120161	 		
1613859082	VK 5100 B395 (24)		24., vollständig überarbeitete und aktualisierte Auflage
1613455453	VK 6000 B889 (3)		3. Aufl., Nachdruck
1611077362	 		2. Aufl.
1532826907	 		1. Aufl.
1522827005	 		
1505311152	VB 4150 D486 -2015		
1473658152	 		
859173771	VB 4063 H287 (2)		2. Auflage
846022044	 		
83943295X	 		
837963699	 		
837664179	 		[1. Aufl., neue Ausg.]
834434032	 		
826184626	WD 4010 H813 (6)		6., überarbeitete Auflage
824916719	 		
823130371	 		
821809830	WD 4010 G181 (2)		2., korrigierte Aufl.
820090514	 		1. Aufl.
793877563	WD 4010 H474 (5)		5., überarb. Aufl.
792594312	 		
1616039809	VC 5010 B993		
1616035730	 		8. Aufl.
1613927142	 		
1612773605	WD 4010 B493 (7)		7. Aufl., korr. Nachdr.
1612698115	VB 4045 S353		1. Auflage
1610022785	VC 5010 B881 B3		
1608733912	VK 5010 W864 (4)		4. Aufl.
1605672920	 		
1604064919	VC 5010 M888 (11)		11., vollst. überarb. Aufl.
1532822669	 		
1478344253	VB 4150 D486 -2014		
817369899	 		
813438667	 		
813020697	 		
791053881	 		
782252133	VK 5100 H887 (3)		3., überarbeitete Aufl.
780395654	VB 4063 H287		1. Aufl.
774413468	VH 9601 W373		
771342659	VB 2400 R845		
746715331	VH 5010 K96		
1617634034	VC 5010 W968		1. Aufl.
1606691066	 		
1606437356	VB 4150 D486 S5 (2)		2. Aufl., Nachdr. mit red. Änderungen 04/2013
1603551816	VK 5010 C622 (2)		2. Aufl.
1602063184	 		
1601313314	 		4., vollständig überarbeitete Auflage
1601298854	VN 5900 S412		1. Aufl.
1464065330	 		
778391736	 		
771297335	WD 4000 R345 (5)		5., korrigierte und erw. Aufl.
768108810	 		
766100553	 		
756316243	VC 5010 W475 (3)		3. Aufl.
749535601	 		
741177528	VE 5010 B498		1. Aufl.
739230271	 		
737299002	 		1. Aufl.
730826414	VE 5000 A874 P5 (5)		5., [komplett überarb.] Aufl.
722724454	VN 6050 B999		
716828782	UQ 8225 R215		
1620104423	VK 5100 H324		
1615662162	 		
1608948250	VG 8900 H587 (8)		8., überarb. und erw. Aufl.
1602063559	 		
1434960986	 		
1427164193	VN 6050 D184 -2(2)		2., completely rev. and enl. ed., reprint.
142716018X	VN 6050 D184 -1(2)		2., completely rev. and enl. ed., reprint.
1424188741	VH 5100 S412		
1421658623	VH 5100 S412 -2(16)		16., völlig neu bearb. Aufl.
842096841	VB 2000 B179		
734528981	 		
73377802X	 		
726936731	 		
72013921X	VK 5010 B835 (7)		7., vollständig überarbeitete und erweiterte Auflage
719944473	VB 2300 M184 (2)		2. Aufl.
696797755	VB 4150 S385 (7)		7. Aufl.
684158221	VH 9601 B573		
684147912	 		
682837830	VH 5010 H898 (4)		4., völlig neu bearb. Aufl.
68036210X	 		
680351825	 		
667879439	VK 5000 C516		
1619353709	UQ 8225 K19		
1616783370	 		
1616308036	 		
1615920005	 		
1612717772	 		
1612611567	VC 5010 B881 S9 (10)		10. aktual. Aufl., [gekürzte Ausg.]
161078264X	 		1. Aufl.
1607026600	WD 4010 L523 (4)		4., vollst. überarb. und erw. Aufl., Übers. der 5. amerikan. Aufl., korr. Nachdr.
160631484X	VC 5010 A749 G8		1. Aufl.
1603467661	VC 5010 B614 (2)		2. Aufl.
1547442042	 		
1425207510	VB 4130 M947 (3)		3. Aufl.
1421726734	VK 5010 V923 (5)		5. Aufl.
1410323838	 		
1410204928	 		
1401809855	WD 4010 M946 (2)		2. Aufl.
682834041	 		
682809624	 		1. Aufl.
67589106X	 		
675890993	 		
673050300	 		
672367858	 		
671707418	VN 6050 O99		1. Reprint
669549258	VB 4150 B817		
665693656	 		
662519477	 		2. Aufl.
662197720	 		
660838036	 		
658342908	VB 2400 A362 (L)		Lizenzausg.
65677035X	 		
655083847	VK 5010 B892 (2)		[2., dt. verb. und gekürzte Aufl.] = [5., aktualisierte engl. Aufl.]
654702055	VB 2000 S412 L4		1. Aufl.
654515336	VB 4065 S412		1. Aufl.
641766467	VK 5010 B927 (4)		4., überarb. und aktualisierte Aufl.
64136444X	VH 5000 K24		1. Aufl.
632983396	VH 5200 R549 (2)		2. Aufl.
627580815	VN 6050 R313 (4)		4. ed.
618347763	VK 8530 L519		1. Aufl.
611358859	 		
1611226627	 		1. Aufl. [ Dr.]
1608153835	 		
1605449377	 		
1605106704	VC 5020 M613		1. Aufl.
1603019529	 		
646065750	 		
640507131	 		
635784912	VK 8530 K96		1. Aufl.
635185628	 		
632840013	 		1. Aufl.
630379890	VB 4130 R845		
627260039	 		1. Aufl.
624789225	 		
621492981	 		
619696060	 		
619696052	 		
619695552	VC 5200 S411		
619691174	VN 8000 S412 (2)		2., vollst. überarb. und erw. Aufl.
61788515X	VG 5000 O37		1. Aufl.
614689325	VN 6050 A288		
613557174	VK 5020 S785		
611754029	 		
611734044	 		4., vollst. überarb. und erw. Aufl.
562965629	VN 9800 S412		1. Aufl.
1623004179	 		
1621485072	 		2., vollst. überarb. Aufl.
1621057240	 		1. Aufl., 3. Dr.
1619852314	 		
1618287389	VN 6050 N336		1. softcover printing
1616246340	 		3., erw. und aktualisierte Aufl.
160258723X	VN 6050 J32		1. Aufl.
1601062532	 		
1376003589	VB 4130 M947 (2)		2. Aufl.
655830197	VK 5100 B395 (23)		23., vollständig überarb. u. aktualisierte Aufl.
615143164	 		
614026458	 		Neubearb., 3. Aufl., [Nachdr.]
608423653	VC 5010 P126		
60429090X	WD 4010 H813 (4)		4., aktualisierte und erw. Aufl.
600536815	VK 5010 W864 (3)		3., erg. Aufl.
600249247	 		
600231542	VH 5000 R241		Orig.-Ausg.
599825073	 		
595983200	 		
590286692	VC 5000 S412		1. Aufl.
586737944	VK 5010 S377 (3)		3. Aufl.
577659480	 		2., [vollst. überarb. und stark] erw. Aufl.
570517265	 		1. ed.
560858337	VB 4065 W499		1. Aufl.
551088621	VE 9530 W189 (3)		3. ed.
533179955	VG 8901 S629		
510939996	VN 6050 Y65		
1617835684	 		
1616625333	 		1. Aufl.
1616058471	 		
161601413X	 		
1616001240	 		
1614320608	 		
1614320403	 		
1614090904	 		
1612586236	 		
1610592646	WD 4010 L825 (7)		7., komplett überarb. Aufl.
1401001564	 		[4. Aufl.]
1378287274	 		
1358168342	VB 4063 S778		1. Aufl.
1355748577	 		
1355368790	 		
1353417026	 		
1350598100	 		2., verb. Aufl.
636405141	VH 5000 Q1		1. Aufl., 1. Nachdr.
575183233	VB 4053 R718  N4 (2)		2., überarb. und erw. Aufl.
57518051X	 		
572100701	 		
568934261	VH 5010 R549 A4 (9)		9. Aufl.
565529757	 		1. Aufl.
565529722	 		1. Aufl.
562965033	VC 5000 M822 (2)		2., überarb. Aufl.
562088113	 		
560189575	 		
559450583	VB 4053 R718 (4)		4., überarb. Aufl.
558625630	 		1. Aufl.
558473865	 		1. Aufl.
557894255	VB 2000 S412		1. Aufl.
557347661	VG 5010 S412 (2)		2., vollst. überarb. Aufl.
557241855	VE 5010 A874 K9 (4)		4., vollst. überarb. Aufl.
555663051	WD 4000 R345 (4)		4., korrigierte Aufl.
552454087	 		2. Aufl.
548681643	 		1. Aufl.
540321176	 		1. Aufl.
1628309385	VH 5010 H737 (102)		102., stark umgearb. u. verb. Aufl.
1616020644	VC 5020 H137 (N)		1. Aufl., unveränd. Nachdr.
1608760499	 		
1606864653	VK 5010 H325 (3)		3., vollst. überarb. und aktualisierte Aufl.
1604282916	 		1. Aufl
160245132X	 		
1355731755	VB 4073 I61 -2		1. Aufl., [Nachdr.]
134436778X	VB 4073 I61 -1/2		Realschule Baden-Württemberg
1342775872	 		5., verb. Aufl
1335274111	 		
1331777054	 		
1330391241	VB 4073 I61 L -2		1. Aufl.
560199171	 		
557932459	 		
555793737	 		
550624732	VK 5660 O29		
548686750	 		
548686335	 		
546021778	 		3., überarb. und aktualisierte Aufl.
538225971	 		2., aktualisierte Aufl
53203872X	 		6., völlig neu bearb. Aufl
532033051	 		3., aktualisierte Aufl
52843215X	VK 5010 B892		 [1. Aufl., aktualisierte Aufl. der 5. engl. Aufl.]
528381016	 		1. Aufl., [Jubiläumsausg.]
52835499X	VH 5010 R549 M6 (3)		3. Aufl.
528354574	VH 5010 R549 (7)		7. Aufl.
526901632	 		
525689192	 		1. Aufl.
523876742	 		
520159837	VB 2000 S412 C5		
51873319X	VC 5010 B881 C5 (10)		10., aktualisierte Aufl.
162731945X	VC 5010 A874 (2)		2., vollst. überarb. und erw. Aufl
1624357113	 		
1477655743	VB 4073 F944		
1328671534	VK 5000 O68 -1		
1326653377	VC 1000 B846 -1(10)	Titel hängt an der falschen GA	Orig.-Ausg., 10., korr. und aktualisierte Aufl.
1325960543	VB 4073 I61 -1 +...		1. Aufl., 3. Dr.
1325234648	 		Überarb. Aufl
1324799641	 		
1322228221	VB 4073 I61 L -1		
517982315	VH 5801 M947 (5)		5., überarb. und erw. Aufl.
51680829X	 		2., gründlich überarb. Aufl
514225300	 		
514225297	 		
509762476	VG 5000 O91 (3)		3., vollst. überarb. und erw. Aufl.
509402909	 		
508852684	VC 5010 H842 (2)		2., aktualisierte Aufl. [der engl. Ausg.]
508393531	VK 8500 N968 (4)		4., neu bearb. Aufl.
507539567	 		
505368099	VE 5000 E57		
501422269	 		
501422072	 		1. Aufl.
372564518	VK 5010 K21 (11)		11., überarbeitete und erweiterte Auflage
372564178	VH 5000 K21 (14)		14., überarb. und erw. Aufl.
1617243582	VE 6300 H198 (4)		4., vollst. überarb. und aktualisierte Aufl.
1616563974	 		1. Aufl.
1611619076	WD 4010 C554		
1320420176	 		
1320260322	 		
1191215202	 		
1191108155	VB 4073 E69 -3		Dr. A,1
1190958473	VB 4073 I61 -1		
1188360981	VK 5010 V923 (4)		4. Aufl.
520224701	VC 5010 M947 (2)		[2. Aufl.]
507203259	 		
506736520	 		1. Aufl.
502977957	VB 2000 L933		
502716436	 		1. Aufl.
502105623	VH 5100 J33 (15)		15., neu bearb. Aufl.
501486941	 		10.,völlig neu bearb. Aufl
497947579	 		
496755161	VE 8001 T561 (2)		2., vollst. überarb. und erw. Aufl.
496502581	VH 5000 T866 (2)		2., überarb. und erg. Aufl.
490240372	 		
484952838	 		2., verb. Aufl.
483626104	 		
482762926	VB 4063 G736		1. Aufl.
481288198	 		1. Aufl
38009763X	VC 5000 M822		1. Aufl.
1615950613	 		1. Aufl.
118492371X	VB 4073 H595 B1 Z		Dr. 1
1184923620	VB 4073 H595 B1		Dr. A1
1184737924	 		
1182022413	 		
1180880528	VB 2300 S927 -2		1. Aufl.
1178631990	VC 5010 A749 -1(4)		4., überarb. Aufl.
477082041	 		
393448835	 		
392335638	 		
391826808	 		
390484717	VE 5010 W393 (5)		5., vollst. überarb. und aktualisierte Aufl.
388853190	VB 2000 M184		
387548491	 		
387029850	VH 5010 R549 A4 (8)		8., überarb. Aufl.
38666305X	VN 8000 S412		
384062598	VK 5010 B573 (24)		24., überarb. Aufl.
382868943	 		
381005054	 		
376904658	 		
365122890	WW 1744 O37		
1604698101	VB 4063 W843		
1603476016	VC 1000 N493		
1473310733	VB 3100 G389		
1320403352	 		
117886264X	 		
1178854256	 		
1175233455	 		2., überarb. Aufl.
1174525673	VB 4063 K83 -2		1. Aufl.
366398741	 		
365235245	 		1. Aufl.
36516545X	VK 5010 B927 (3)		3., überarb. und aktualisierte Aufl.
364602368	 		
364601396	 		
361571631	 		
360066127	VB 4053 R718 (3)		3., überarb. Aufl.
355616599	VG 6600 J33 (16)		16. Aufl.
32274296X	 		
1625382502	 		1. Aufl.
1601068956	 		
1172295778	 		
1171516037	 		1. Aufl.
1170516319	 		
1169850146	 		
1168567971	VB 4073 D 987 -2		
37627056X	VC 1000 K14 (13)		13., durchges. Aufl., Nachdr.
360168264	VK 8560 R469 (2)		2. Aufl.
358515548	 		
353407909	 		
351987312	VK 5010 H325 (2)		2., vollst. überarb. und aktualisierte Aufl.
351209646	WD 4010 V876		
350133964	VB 4053 R718 N4		
349528462	 		Neubearb., 3. Aufl.
349364680	 		1. Aufl.
349094713	VH 5010 R549 (5)		5. Aufl.
348521855	 		
345474147	VH 5501 J33 (15)		15., überarb. Aufl.
1625092377	 		1. Aufl.
1621651568	VB 4063 A124		1. Aufl.
1621457362	VB 4045 R713		
1616340657	 		
1166115569	 		
1165601850	 		
1165222507	 		1. Aufl.
1164129406	 		
1163343609	 		
1163343498	 		
1162009608	 		2. verb. Aufl.
1162006544	 		
1161080163	 		
1158907117	VB 4073 D987 -1		
334935229	VC 1000 W737 (2)		2., vollst. überarb. und erw. Aufl.
334142261	WD 4010 L523 (3)		3., vollst. überarb. und erw. Aufl.
332212440	VB 4045 B971 (8)		8. Aufl, Stand: Januar 2001
331515393	VK 5010 B835 (4)		4., überarb. Aufl.
33145372X	VB 4063 Z66 (L)		Lizenz[ausg.]
331261545	 		
330082787	VK 6000 S983 W6 (2)		2., korr. Aufl.
329560395	VH 8022 E55		
328823597	WD 4010 F668		1. Auflage
32796569X	 		
326158057	VC 5000 M613		1. Aufl.
326155619	VN 9360 K77		
323683843	 		4., völlig neu bearb. Aufl
317562436	 		
1610963466	VB 4092 Z66		
1608958965	 		
1608675548	VG 1000 R248 (11)		11. Aufl.
1606093061	WB 1410 R715		
1547443774	 		
1473658047	 		
142026303X	VN 6050 D184 (2)	GA	2., completely rev. and enl. ed.
1419649221	VK 5000 O68	GA	
1408436450	 		
1190958333	VB 4073 I61	GA	Realschule Baden-Württemberg
1184923558	VB 4073 H595 B1	GA	Baden-Württemberg
118245979X	 		
1162006528	 		
1158908229	VB 4092 H595 (2)		2., neubearb. Aufl.
1158907419	VB 4092 H595 O6 (2)		2., neubearb. Aufl.
1158378815	VB 4092 K63 -1(3)		3., unveränd. Aufl.
1155481364	VB 4072 U61 -2(N)		1. Aufl.
1155481186	VB 4072 U61 (N)	GA	[Überregionale Ausgabe], Neubearb.
1153045214	 		
1151478261	WB 1410 F194 -2		
32491010X	 		1. Aufl.
32379744X	VN 6020 S393		
31962661X	VB 4063 H112		1. Aufl.
319370836	VG 8901 B391		1. Aufl.
317571125	VC 5000 W681		
312069073	VK 5010 B928		
308316533	 		
1603479449	 		Als Ms. gedr.
115331875X	 		[Neubearb.]
1153090155	 		
1152324314	 		
1151380946	WB 1410 F194 -1		
1150534931	VB 2300 S927 -1		1. Aufl., 1. Dr.
1149154128	 		
1148910522	 		
114827300X	VC 1000 R715 C5 -6(10)		10., völlig überarb. Aufl.
1148090878	 		1. Aufl.
1148069615	 		1. Aufl.
1147719888	 		
1145271340	VC 1000 B283 -3		
1141200910	VC 1000 B283 -2		
1140793950	VC 1000 R715 C5 -5(10)		10., völlig überarb. Aufl.
305729861	 		1. Dr.
302207651	 		2., überarb. und erg. Aufl.
300693729	VN 8903 R715 (2)		2., völlig überarb. Aufl.
293272069	VH 5000 B612		
270636498	 		
27024316X	 		
269625321	VC 5010 B599		Orig.-Ausg.
269469753	VB 3222 B864		
267503636	 		
267502532	 		6., veränd. Aufl.
265862124	 		1. Aufl. (dieser Ausg.), für die Beck'sche Reihe neu überarb.
254468241	 		
25025686X	WD 4010 M621		
1630387428	 		
1621744876	VK 5030 F884 (4)		4., durchges. und erw. Aufl.
1620046857	VN 9360 R937 (3)		3., völlig überarb. Aufl.
1148032657	 		
1145815375	 		2. erw. Aufl.
1141871521	 		
