SET:|TTL:|PPN:|2000|4000|4170|1100|3000|3010|3120|5090|E001|7101|RVK40013|DSTATUS42001|DSTATUS42002|DSTATUS42003|5550|4020|5100|5500|RVK40011|RVK40012|RVK40014|4150|RVK40015|3100;;;;;;;;;;;;;;;
Pica2rvk-Export|1|1752461029|978-3-8325-5245-9|Modelle und Experimente im Chemieunterricht; eine Videostudie zum fachspezifischen Lehrerwissen und -handeln|Studien zum Physik- und Chemielernen$lBand 309|2021|Strübe, Martina ; ID: gnd/1229933840$BVerfasserIn$4aut|Sumfleth, Elke *1952-* ; ID: gnd/121127419$BAkademischeR BetreuerIn$4dgs|Universität Duisburg-Essen ; ID: gnd/10050375-5$BGrad-verleihende Institution$4dgg|DW 1700 [Pädagogik / Erwachsenenbildung und Jugendbildung / Außerschulische Jugendbildung / Allgemeines und Deutschland]|06-08-21 : l01|Che G 300: 15|0|false|false|false||||||||||;;;;;;;;;;;
Pica2rvk-Export|2|175106252X|978-3-8325-5259-6; 3-8325-5259-6|Förderung und Erfassung der Reflexionskompetenz im Fach Chemie|Studien zum Physik- und Chemielernen$lBand 312|2021|Kobl, Christina ; ID: gnd/1229671927$BVerfasserIn$4aut|Tepner, Oliver ; ID: gnd/136024505$BAkademischeR BetreuerIn$4dgs|Logos Verlag Berlin ; ID: gnd/1065538812$BVerlag$4pbl|DP 2050 [Pädagogik / Didaktik und Methodik des Unterrichts / Spezielle Fragen der Methodik / Unterrichtsformen / Sonstige Unterrichtsformen (außer Sozialformen) / Allgemeines und Deutschland]|06-08-21 : l01|Che G 60: 16|0|false|false|false||||||||||;;;;;;;;;;;
Pica2rvk-Export|3|1736230131|978-3-8325-5174-2|Chemie pur - Unterrichten in der Natur;" Entwicklung und Evaluation eines kontextorientierten Unterrichtskonzepts im Bereich Outdoor Education zur Änderung der Einstellung zu ""Chemie und Natur""|Studien zum Physik- und Chemielernen$lBand 301|2020|Engl, Alexander *1988-* "; ID: gnd/122005982X$BVerfasserIn$4aut|Risch, Björn ; ID: gnd/1200057236$BAkademischeR BetreuerIn$4dgs|Universität Koblenz-Landau ; ID: gnd/5015912-4$BGrad-verleihende Institution$4dgg|DP 2050 [Pädagogik / Didaktik und Methodik des Unterrichts / Spezielle Fragen der Methodik / Unterrichtsformen / Sonstige Unterrichtsformen (außer Sozialformen) / Allgemeines und Deutschland$ADE-14/sred]|06-07-21 : l01|Che G 160: 107|0|false|false|false|Umweltbewusstsein ; ID: gnd/4078517-8|||||||||;;;;;;;;;;
Pica2rvk-Export|4|1717715656|3-86894-347-1; 978-3-86894-347-4|Horton Biochemie kompakt|Pearson Studium - Chemie|2020||Jahn, Martina *1963-* ; ID: gnd/120970767$BÜbersetzerIn$4trl$BVerfasserIn$4aut||WD 4010 [Biologie / Biophysik, Biochemie, Physiologische Chemie / Allgemeine Biochemie, Physiologische Chemie und Bioengineering / Lehrbücher und einführende Werke$ADE-520]|25-09-20 : l01|Che E 550: 42|201|false|false|false||5., überarbeitete und aktualisierte Auflage|Biochemie ; ID: gnd/4006777-4| |a|Biochemistry|WD 4010|Biologie / Biophysik, Biochemie, Physiologische Chemie / Allgemeine Biochemie, Physiologische Chemie und Bioengineering / Lehrbücher und einführende Werke$ADE-520|J25 (5)|||;;;;;;;;;;;;
Pica2rvk-Export|5|1692940236|978-3-8325-5065-3; 3-8325-5065-8|Angebots-Nutzungs-Prozesse eines Schülerlabors analysieren und gestalten; ein design-based research Projekt|Studien zum Physik- und Chemielernen$lBand 293|2020|Janssen, Sönke *1990-* ; ID: gnd/1209286599$BVerfasserIn$4aut|Friege, Gunnar$BAkademischeR BetreuerIn$4dgs|Gottfried Wilhelm Leibniz Universität Hannover ; ID: gnd/64681-7$BGrad-verleihende Institution$4dgg||12-11-20 : l01|Che G 330: 18|0|false|false|false|Lernen ; ID: gnd/4035408-8||Lehr-Lern-Forschung ; ID: gnd/4478933-6|||||||;;;;;;;;;
Pica2rvk-Export|6|1691587079|978-3-8309-4093-7; 3-8309-4093-9|Von Sprosse zu Sprosse; innovative Erarbeitung des Bohr'schen Atomkonzepts mit der Lernleiter|Ganz In - Materialien für die Praxis|2020||van Vorst, Helena$BHerausgeberIn$4edt|Waxmann Verlag ; ID: gnd/1036460398$BVerlag$4pbl||13-05-20 : l01|Che G 120: 76|0|false|false|false|||Sekundarstufe ; ID: gnd/4077347-4|||||||;;;;;;;;;;;
Pica2rvk-Export|7|1686113617|978-3-86740-980-3; 3-86740-980-3|Mini-Forscher entdecken ... Stoffe und Stoffeigenschaften; 1.-2. Klasse|Die Natur erforschen|2020|Stücke, Uta *1970-* ; ID: gnd/123152089$BVerfasserIn$4aut||BVK Buch Verlag Kempen GmbH ; ID: gnd/1065553943$BVerlag$4pbl||27-04-20 : l01|Che G 360: 134|0|false|false|false||1. Aufl||||||||;;;;;;;;;;;
Pica2rvk-Export|8|1684125340|978-0-8153-7767-2; 978-0-8153-7774-0|Foundations for teaching chemistry; chemical knowledge for teaching||2020|Taber, Keith S. *1960-* ; ID: gnd/1046631918$BVerfasserIn$4aut||||02-04-20 : l01|Che G 120: 75|0|false|false|false||||<650>|s| |a|Chemistry |Study and teaching (Secondary) |z|United States||||||;;;;;;;;;;;;
Pica2rvk-Export|9|1668559447|978-3-403-08271-2; 3-403-08271-7|Ausgezeichnete Chemiestunden Kohlenwasserstoffe; anwendungsorientierte Stunden mit vielen Schülerversuchen und allen Materialien||2020|Wiedmeier, Katrin ; ID: gnd/1210274507$BVerfasserIn$4aut||Auer Verlag ; ID: gnd/1028055145$BVerlag$4pbl|VB 4063 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Didaktisches Lehrmaterial und Arbeitsmittel für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)]|23-07-20 : l01|Che G 160: 106|0|false|false|false||1. Auflage|Sekundarstufe 1 ; ID: gnd/4054365-1|||||||;;;;;;;;;;
Pica2rvk-Export|10|166740668X|3-13-242274-6; 978-3-13-242274-2|Chemie; das Basiswissen der Chemie||2020|Mortimer, Charles E. *1920-2001* ; ID: gnd/136214304$BVerfasserIn$4aut|Müller, Ulrich *1940-* ; ID: gnd/130176184$BVerfasserIn$4aut|Georg Thieme Verlag KG ; ID: gnd/1064287301$BVerlag$4pbl|VC 5010 [Chemie und Pharmazie / Allgemeine Chemie; Mathematik, Statistik und Datenverarbeitung in Chemie und Pharmazie / Allgemeine Chemie / Lehrbücher$ADE-100/19$ADE-14/sred]|09-12-19 : l01|Che A 10: 6|201|false|false|false| $ADE-105|13., vollständig überarbeitete Auflage|Chemie ; ID: gnd/4009816-3||s| |a|Chemistry|VC 5010|Chemie und Pharmazie / Allgemeine Chemie; Mathematik, Statistik und Datenverarbeitung in Chemie und Pharmazie / Allgemeine Chemie / Lehrbücher$ADE-100/19$ADE-14/sred|M888 (13)|||;;;;;;;
Pica2rvk-Export|11|1047252562|3-527-34392-X; 978-3-527-34392-8; 978-3-527-34394-2|Kurzlehrbuch physikalische Chemie; für natur- und ingenieurwissenschaftliche Studiengänge||2020|Atkins, Peter W. *1940-* ; ID: gnd/128437782$BVerfasserIn$4aut|De Paula, Julio ; ID: gnd/132130599$BVerfasserIn$4aut||VE 5010 [Chemie und Pharmazie / Physikalische und theoretische Chemie / Physikalische und Theoretische Chemie allgemein / Lehrbücher s.a. bei den entsprechenden Systemstellen]|22-10-20 : l01|Che B 10: 56|201|false|false|false|Physikalische Chemie ; ID: gnd/4045959-7|5. Auflage|Physikalische Chemie ; ID: gnd/4045959-7||VE 5010|Chemie und Pharmazie / Physikalische und theoretische Chemie / Physikalische und Theoretische Chemie allgemein / Lehrbücher s.a. bei den entsprechenden Systemstellen|A874 K9 (5)|||;;;;;;;;
"Pica2rvk-Export|12|1742425631|978-4-903389-86-8|You can realize that ""Science"" is useful!"; Chemical Magic Demonstrations||2019||Toya, Yoshiaki$BHerausgeberIn$4edt|||06-08-21 : l01|Che G 360: 135|0|false|false|false||||<650>|s| |a|Chemistry |Study and teaching |z|Japan||||||;;;;;;;;;;;;;;
Pica2rvk-Export|13|1685293034|978-3-8325-5036-3; 3-8325-5036-4|Der Einfluss von Betreuung und Betreuenden auf die Wirksamkeit von Schülerlaborbesuchen; eine Zusammenhangsanalyse von Betreuungsqualität, Betreuermerkmalen und Schülerlaborzielen sowie Replikationsstudie zur Wirksamkeit von Schülerlaborbesuchen|Studien zum Physik- und Chemielernen$lBand 290|2019|Simon, Florian *1988-* ; ID: gnd/1203410999$BVerfasserIn$4aut||Technische Universität Dresden ; ID: gnd/2024114-8$BGrad-verleihende Institution$4dgg|DW 1400 [Pädagogik / Erwachsenenbildung und Jugendbildung / Unterrichtsmethodik / Allgemeines und Deutschland]|13-10-20 : l01|Che G 330: 16|0|false|false|false|Signifikanztest ; ID: gnd/4054949-5||Effektivität ; ID: gnd/7859045-0|||||||;;;;;;;;;
Pica2rvk-Export|14|1678700088|978-3-8325-4996-1; 3-8325-4996-X|Erfassung und Förderung experimenteller Kompetenz von Lehrkräften im Fach Chemie|Studien zum Physik- und Chemielernen$lBand 282|2019|Telser, Victoria ; ID: gnd/120280022X$BVerfasserIn$4aut||Universität Regensburg ; ID: gnd/1012048-8$BGrad-verleihende Institution$4dgg||13-01-20 : l01|Che G 480: 5|0|false|false|false|Fachwissen ; ID: gnd/4195141-4||Lehrerfortbildung ; ID: gnd/4035096-4|||||||;;;;;;;;;;
Pica2rvk-Export|15|1678699748|978-3-8325-4982-4; 3-8325-4982-X|Untersuchung zur Effektivität von Strukturierung und Binnendifferenzierung im Chemieunterricht der Sekundarstufe I; Evaluation der Strukturierungshilfe Lernleiter|Studien zum Physik- und Chemielernen$lBand 280|2019|Hauerstein, Marie-Therese *1990-* ; ID: gnd/1198153008$BVerfasserIn$4aut||Universität Duisburg-Essen ; ID: gnd/10050375-5$BGrad-verleihende Institution$4dgg||09-01-20 : l01|Che G 420: 5|0|false|false|false|||Sekundarstufe 1 ; ID: gnd/4054365-1|||||||;;;;;;;;;;
"Pica2rvk-Export|16|1677393629|978-3-8325-4953-4|Schulung von Vermittlungsfähigkeiten Promovierender im Fach Chemie: Die Weiterbildung ""How to communicate chemistry?""|Lernen in Naturwissenschaften$lBand 5|2019|Kolbeck, Eva Julia *1989-* "; ID: gnd/1192834178$BVerfasserIn$4aut||Westfälische Wilhelms-Universität Münster ; ID: gnd/36175-6$BGrad-verleihende Institution$4dgg||13-01-20 : l01|Che G 480: 4|0|false|false|false|Chemieunterricht ; ID: gnd/4009832-1|||||||||;;;;;;;;;;;;
Pica2rvk-Export|17|1672387973|978-3-8085-7154-5|Physikalische Chemie|Europa-Fachbuchreihe für Chemieberufe|2019|Hug, Heinz *1944-* ; ID: gnd/120236729$BVerfasserIn$4aut|Reiser, Wolfgang ; ID: gnd/1073707164$BVerfasserIn$4aut||VE 5010 [Chemie und Pharmazie / Physikalische und theoretische Chemie / Physikalische und Theoretische Chemie allgemein / Lehrbücher s.a. bei den entsprechenden Systemstellen]|12-09-19 : l01|Che B 10: 68|201|false|false|false|Physikalische Chemie ; ID: gnd/4045959-7|4. neu bearbeitete Auflage|||VE 5010|Chemie und Pharmazie / Physikalische und theoretische Chemie / Physikalische und Theoretische Chemie allgemein / Lehrbücher s.a. bei den entsprechenden Systemstellen|H891 (4)|||;;;;;;;;;;;;
Pica2rvk-Export|18|1670000605|978-3-8325-4933-6; 3-8325-4933-1|Der Einfluss von Interesse und Motivation auf die Messung von Fach- und Bewertungskompetenz im Fach Chemie|Studien zum Physik- und Chemielernen$lBand 277|2019|Fischer, Vanessa ; ID: gnd/1192450841$BVerfasserIn$4aut||Universität Duisburg-Essen ; ID: gnd/10050375-5$BGrad-verleihende Institution$4dgg|TB 4056 [Allgemeine Naturwissenschaft / Ausbildung, Didaktik, Organisation, Beruf / Didaktik der Allgemeinen Naturwissenschaft / Fachdidaktik für den naturwissenschaftlichen Unterricht an Schulen$ADE-14/sred]|15-10-20 : l01|Che G 130: 11|0|false|false|false|Motivation ; ID: gnd/4040364-6|||||||||;;;;;;;;;;;
